event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds
ca936c67687789e9,UFC 313: Pereira vs. Ankalaev,2025/03/08,"Las Vegas, Nevada, USA",af3e43049bc86fe9,flyweight,0,Decision - Unanimous,3,300,3.0
ca936c67687789e9,UFC 313: Pereira vs. Ankalaev,2025/03/08,"Las Vegas, Nevada, USA",231968c02cdfe65e,lightweight,0,KO/TKO,1,127,3.0
ca936c67687789e9,UFC 313: Pereira vs. Ankalaev,2025/03/08,"Las Vegas, Nevada, USA",a3cd6a65aaa9f104,lightweight,0,Submission,1,149,3.0
ca936c67687789e9,UFC 313: Pereira vs. Ankalaev,2025/03/08,"Las Vegas, Nevada, USA",79f1c9f97d83ec83,women's strawweight,0,Decision - Unanimous,3,300,3.0
ca936c67687789e9,UFC 313: Pereira vs. Ankalaev,2025/03/08,"Las Vegas, Nevada, USA",e61cb905f6152183,middleweight,0,Submission,2,267,3.0
ca936c67687789e9,UFC 313: Pereira vs. Ankalaev,2025/03/08,"Las Vegas, Nevada, USA",cab4937435d081d0,welterweight,0,KO/TKO,1,256,3.0
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",371ed8497799998e,welterweight,0,Submission,4,99,5.0
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",96c6be6b22385967,welterweight,0,Decision - Unanimous,3,300,3.0
ca936c67687789e9,UFC 313: Pereira vs. Ankalaev,2025/03/08,"Las Vegas, Nevada, USA",19fe7177254802d1,featherweight,0,Decision - Split,3,300,3.0
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",6d9ea9f436ed354d,light heavyweight,0,Decision - Unanimous,3,300,3.0
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",b5b4b69bccb9ff4a,women's strawweight,0,Submission,1,272,3.0
ca936c67687789e9,UFC 313: Pereira vs. Ankalaev,2025/03/08,"Las Vegas, Nevada, USA",96c2f85b46e98e91,middleweight,0,Decision - Unanimous,3,300,3.0
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",8e6640c007ad603d,lightweight,0,Submission,2,222,3.0
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",9779eb1aae1d4654,featherweight,0,Decision - Unanimous,3,300,3.0
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",2a1071689c3af9df,lightweight,0,Decision - Split,3,300,3.0
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",dd229687cb62c871,heavyweight,0,Decision - Unanimous,3,300,3.0
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",8af2b589d5e9c1ae,middleweight,0,Decision - Unanimous,3,300,3.0
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",a693622ad8c0d672,women's strawweight,0,Submission,2,202,3.0
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",1b02588149d126bf,bantamweight,0,Decision - Split,3,300,3.0
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",e5a88f5c686173c4,flyweight,0,Decision - Unanimous,3,300,3.0
9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,2025/03/01,"Las Vegas, Nevada, USA",6bdf0756fb57aced,middleweight,0,KO/TKO,1,285,3.0
