id,name,nick_name,wins,losses,draws,height,weight,reach,stance
36df8e119aec6175,Sarah Kaufman,,18,4,0,165.1,61.23,167.64,Orthodox
cad24459b28592ca,Eryk Anders,Ya Boi,17,8,0,185.42,83.91,190.5,Southpaw
58bc81376286b3d3,Per Eklund,,14,5,1,177.8,70.31,182.88,Orthodox
8c169fbe1ac33637,Loik Radzhabov,The Tajik Tank,18,6,1,180.34,70.31,175.26,Orthodox
330bafba312face4,Oliver Enkamp,,7,2,0,182.88,77.11,195.58,Switch
d188a3b817860ec6,Steven Siler,Super,29,16,0,180.34,65.77,177.8,Orthodox
751de04455cfaac0,Calvin Kattar,,23,10,0,180.34,65.77,182.88,Orthodox
388abbf8832b5adf,Jeff Joslin,The Inferno,5,3,0,182.88,77.11,,Orthodox
e0ec3c3b6b611f7e,Hermes Franca,,24,17,0,167.64,70.31,180.34,Orthodox
34ff304266360297,Manon Fiorot,The Beast,12,2,0,170.18,56.7,165.1,Orthodox
4d8fa64202cee4c1,Jalin Turner,The Tarantula,14,9,0,190.5,70.31,195.58,Southpaw
b788862dd1c11eac,Brendan Loughnane,,17,3,0,177.8,65.77,177.8,Switch
83b00f7597e5ac83,Juan Adams,The Kraken,5,3,0,195.58,120.2,203.2,Orthodox
5904b0b38dc6718d,Cody Pfister,The Fist,13,6,1,177.8,70.31,185.42,Orthodox
49f78022126bf4a4,Cesar Arzamendia,Goku,8,3,0,180.34,70.31,,Orthodox
5c84f673b7bb7c15,Cameron Smotherman,The Baby-Faced Killa,12,6,0,175.26,61.23,175.26,Orthodox
baed16f18348908e,Kris McCray,Savage,8,5,0,182.88,77.11,193.04,Orthodox
1a225f04aa6e0739,Kelly Dullanty,Psycho,4,2,0,172.72,70.31,,Orthodox
ba043b03eb799063,Phil Harris,Billy,22,12,0,162.56,56.7,165.1,Orthodox
a7e3f02fe2b2fe30,Danyelle Wolf,,1,1,0,180.34,65.77,177.8,Orthodox
4cd8b03aee1d0138,Shane Young,Smokin',13,8,0,172.72,65.77,182.88,Orthodox
49b130de1da2e1bf,Sarah Alpar,Too Sweet,9,6,0,162.56,61.23,160.02,Southpaw
f40ec51dd4de47c3,Jonavin Webb,The Spyder,9,2,0,177.8,77.11,,Orthodox
68c7ad953455c73f,Don Madge,Magic Man,9,3,1,182.88,70.31,182.88,Southpaw
d7fe8c6b7d2872e5,Brendon Marotte,The Kid,8,3,0,175.26,65.77,177.8,Orthodox
7cec3c4a5e7b6d68,Daniel Frunza,,9,3,0,185.42,77.11,185.42,Orthodox
85980f5da429c0a6,Shane del Rosario,,11,2,0,193.04,113.4,,Southpaw
e8fb8e53bc2e29d6,Marcus Bossett,The Grasshopper,1,3,0,185.42,97.52,,Orthodox
84a067c46306a737,Sam Hoger,The Alaskan Assassin,10,4,0,187.96,92.99,,Orthodox
237187ed9f419285,Jack McGlaughlin,,1,4,0,,,,Orthodox
07225ba28ae309b6,Charles Oliveira,Do Bronxs,35,11,0,177.8,70.31,187.96,Orthodox
b14a68c533f4a4aa,Dokonjonosuke Mishima,,21,7,2,170.18,70.31,,Southpaw
fccf811c1e8b01c7,Andrew Sanchez,El Dirte,13,7,0,185.42,83.91,187.96,Orthodox
3f52ce18fb98008f,Akira Corassani,,12,6,0,172.72,65.77,172.72,Orthodox
6ef65b6a152e49d5,Philip De Fries,,12,6,0,195.58,113.4,200.66,Orthodox
bc711b6dd95c1af6,Mario Bautista,,16,2,0,175.26,61.23,175.26,Switch
cc300e9aa3063431,Andre Gusmao,,6,3,0,182.88,92.99,,Orthodox
0577808d22dfe79c,Jon Olav Einemo,The Viking,6,3,0,198.12,114.76,,Orthodox
c051c2e12d692b8a,Jesus Aguilar,,11,3,0,162.56,56.7,157.48,Orthodox
af62f99eb7606308,Erik Perez,Goyito,17,6,0,172.72,61.23,172.72,Orthodox
d683f4870742b273,Shi Ming,,17,5,0,157.48,52.16,152.4,Orthodox
4f4dac51adc1af4f,Diego Saraiva,The Octopus,22,20,1,167.64,70.31,,Orthodox
8b6e5dc2ba1edbe7,Sam Patterson,,13,2,1,190.5,77.11,198.12,Orthodox
2e04a3b4a2011b97,Roland Payne,,0,1,0,175.26,92.99,,Orthodox
b997be68943010fc,Geoff Neal,Handz of Steel,16,6,0,180.34,77.11,190.5,Southpaw
3a314d9fa7c6825d,Douglas Silva de Andrade,D Silva,29,6,0,170.18,61.23,172.72,Orthodox
33b2f68ef95252e0,Miguel Torres,,44,9,0,175.26,61.23,193.04,Orthodox
fa37628269132d1a,Godofredo Pepey,,13,6,0,170.18,65.77,185.42,Orthodox
adea9f0090aa8e14,Jason Fairn,,4,5,0,185.42,104.33,,
3c8a5200436e19f3,Cameron Saaiman,MSP,9,3,0,172.72,61.23,170.18,Southpaw
37c5366d18ed6c05,Roosevelt Roberts,The Predator,12,6,0,187.96,70.31,185.42,Orthodox
43563a32c3f10e95,Cyrille Diabate,The Snake,19,10,1,198.12,92.99,205.74,Southpaw
fe435e440b5de0ff,Jake Shields,,31,9,1,182.88,77.11,182.88,Orthodox
7832f2f62f04178f,Tucker Lutz,Top Gun,12,4,0,172.72,65.77,182.88,Orthodox
ddf3e0ea10ea6d8c,Jorge de Oliveira,Blade,9,2,0,172.72,70.31,,Orthodox
83d0de122f2f9664,Michael Patt,,12,4,0,182.88,92.99,,Orthodox
285ae0b4a68221f4,JunYong Park,The Iron Turtle,19,6,0,177.8,83.91,185.42,Orthodox
1fd4fbdcc67de844,Drew McFedries,The Massacre,12,7,0,182.88,83.91,182.88,Southpaw
fbb60f24af5d5a02,Torrez Finney,The Punisher,11,0,0,172.72,83.91,190.5,Orthodox
476414d2f18cd059,Andy Wang,,7,8,1,167.64,70.31,,Orthodox
53c943c873cffe90,Philipe Lins,Monstro,18,5,0,187.96,92.99,198.12,Orthodox
7a703c565ccaa18f,Jacare Souza,,26,10,0,185.42,83.91,182.88,Orthodox
cc3147b49c7d7d92,Dan Stittgen,The Anvil,12,5,0,185.42,77.11,,Orthodox
1a08b01fdabb6ae2,Tony Kelley,Primetime,8,3,0,175.26,61.23,177.8,Switch
764342d39cdaa54a,Frank Camacho,The Crank,22,10,0,177.8,70.31,185.42,Orthodox
3058888c33149a53,Yusuke Kasuya,,9,3,0,170.18,70.31,,Southpaw
3e03cec9767d37e6,He-Man Gipson,,1,2,0,,,,
